,Team,Att,Rush_Yds,YPC,TD,20+,40+,Lng,Rush_1st,Rush_1st%,Rush_FUM,Years
663,Steelers,411,1583,3.9,10,9,0,37,85,20.7,0,2021
664,Cardinals,496,2076,4.2,23,10,3,57,127,25.6,16,2021
665,Eagles,550,2715,4.9,25,17,0,38,163,29.6,6,2021
666,Jets,380,1667,4.4,14,9,2,55,87,22.9,1,2021
667,Giants,419,1688,4.0,8,9,2,46,90,21.5,4,2021
668,Saints,510,1991,3.9,12,9,1,44,113,22.2,2,2021
669,Patriots,489,2151,4.4,24,11,1,64,139,28.4,7,2021
670,Vikings,449,1930,4.3,10,13,2,66,103,22.9,6,2021
671,Dolphins,442,1568,3.5,12,5,0,30,87,19.7,5,2021
672,Raiders,414,1617,3.9,14,7,0,31,95,22.9,9,2021
673,Rams,420,1683,4.0,10,3,0,39,99,23.6,3,2021
674,Chiefs,431,1955,4.5,16,9,1,51,119,27.6,8,2021
675,Jaguars,392,1755,4.5,13,7,2,66,92,23.5,6,2021
676,Colts,499,2540,5.1,22,19,5,83,154,30.9,7,2021
677,Texans,420,1422,3.4,8,6,0,36,77,18.3,5,2021
678,Titans,551,2404,4.4,23,11,3,76,134,24.3,9,2021
679,Packers,446,1900,4.3,13,7,1,57,109,24.4,5,2021
680,Lions,427,1886,4.4,12,12,2,57,104,24.4,6,2021
681,Broncos,455,2025,4.5,16,10,3,70,124,27.3,7,2021
682,Cowboys,473,2119,4.5,15,11,2,58,111,23.5,8,2021
683,Browns,485,2471,5.1,20,18,2,70,138,28.5,5,2021
684,Bengals,436,1742,4.0,16,8,1,46,96,22.0,2,2021
685,Bears,475,2018,4.2,14,13,1,41,119,25.1,5,2021
686,Panthers,455,1842,4.0,17,8,0,33,118,25.9,10,2021
687,Bills,461,2209,4.8,20,18,2,46,134,29.1,8,2021
688,Ravens,517,2479,4.8,18,15,1,46,159,30.8,7,2021
689,Falcons,393,1451,3.7,11,2,0,39,75,19.1,9,2021
