,Team,Att,Cmp,Cmp_%,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Years
591,Bills,492,313,63.6,6.3,2867,22,16,82.6,157,31.9,36,2,43,36,2018
592,Ravens,577,337,58.4,6.3,3360,21,12,80.6,174,30.2,44,7,64,43,2018
593,Falcons,585,398,68.0,7.5,4153,33,15,98.3,226,38.6,46,7,58,37,2018
594,Redskins,540,371,68.7,7.6,3823,35,13,102.5,200,37.0,56,9,53,46,2019
595,Buccaneers,664,408,61.4,7.0,4322,30,12,90.0,222,33.4,57,14,75,47,2019
596,Seahawks,598,383,64.0,7.4,4223,19,16,85.6,224,37.5,53,6,58,28,2019
597,49ers,519,318,61.3,5.9,2707,23,12,83.0,150,28.9,34,5,88,48,2019
598,Chargers,464,328,70.7,7.3,3204,21,11,96.7,156,33.6,41,6,70,30,2019
599,Steelers,514,314,61.1,6.7,3113,23,20,79.7,164,31.9,43,6,58,54,2019
600,Cardinals,601,421,70.0,8.0,4510,38,7,109.9,243,40.4,72,7,57,40,2019
601,Eagles,571,348,60.9,7.2,3865,27,11,90.8,185,32.4,49,15,75,43,2019
602,Jets,585,363,62.1,6.8,3779,25,12,88.0,187,32.0,51,7,89,35,2019
603,Giants,556,369,66.4,8.0,4225,30,10,101.4,211,37.9,67,15,62,36,2019
604,Saints,603,371,61.5,7.0,3868,27,13,88.3,197,32.7,54,13,75,51,2019
605,Patriots,536,303,56.5,6.0,2886,13,25,62.8,150,28.0,42,5,64,47,2019
606,Vikings,601,394,65.6,6.8,3737,23,17,86.1,215,35.8,47,7,60,48,2019
607,Dolphins,545,344,63.1,8.0,4198,39,13,101.9,214,39.3,68,6,83,23,2019
608,Raiders,526,337,64.1,8.3,4107,33,9,103.8,201,38.2,68,16,91,32,2019
609,Rams,562,348,61.9,7.0,3625,23,13,86.8,194,34.5,40,6,67,50,2019
610,Chiefs,582,352,60.5,6.7,3543,21,16,80.8,190,32.6,46,7,69,45,2019
611,Jaguars,517,327,63.2,7.9,3778,22,10,93.9,193,37.3,60,12,84,47,2019
612,Colts,562,394,70.1,7.5,3982,29,15,98.0,207,36.8,50,9,61,41,2019
613,Texans,586,375,64.0,7.7,4276,33,12,97.6,220,37.5,58,12,65,31,2019
614,Titans,598,386,64.5,7.3,4080,25,14,90.4,213,35.6,55,8,63,43,2019
615,Packers,546,326,59.7,7.4,3721,19,17,81.1,191,35.0,56,15,66,41,2019
616,Lions,611,381,62.4,7.8,4551,33,7,99.6,232,38.0,72,10,66,28,2019
617,Broncos,537,348,64.8,7.1,3609,19,10,89.8,175,32.6,46,11,75,40,2019
618,Cowboys,569,370,65.0,6.8,3576,21,7,91.9,188,33.0,55,5,92,39,2019
619,Browns,513,318,62.0,7.3,3470,25,14,89.0,184,35.9,48,8,75,38,2019
620,Bengals,499,308,61.7,8.3,3917,25,11,95.4,183,36.7,70,12,79,31,2019
621,Bears,571,362,63.4,6.6,3554,17,10,85.2,190,33.3,40,7,75,32,2019
622,Panthers,544,347,63.8,7.3,3696,21,14,88.0,197,36.2,53,7,93,53,2019
623,Bills,553,348,62.9,6.2,3123,15,14,78.8,169,30.6,34,4,61,44,2019
624,Ravens,544,318,58.5,6.6,3315,15,13,77.5,163,30.0,47,9,83,37,2019
625,Falcons,536,351,65.5,7.7,3918,28,12,96.9,192,35.8,56,9,71,28,2019
626,Football ,529,330,62.4,6.4,3068,21,16,81.4,161,30.4,36,11,56,47,2020
627,Buccaneers,617,426,69.0,7.0,3945,29,15,94.3,215,34.8,46,7,75,48,2020
628,Seahawks,674,450,66.8,7.1,4560,23,14,90.2,253,37.5,55,9,52,46,2020
629,49ers,537,341,63.5,6.6,3327,25,12,88.6,176,32.8,44,9,70,30,2020
630,Chargers,543,340,62.6,6.8,3578,29,12,91.4,186,34.3,44,10,54,27,2020
631,Steelers,526,298,56.7,6.6,3110,22,18,76.7,163,31.0,45,7,73,56,2020
632,Cardinals,570,365,64.0,6.9,3623,26,11,91.5,207,36.3,48,5,76,48,2020
633,Eagles,530,364,68.7,7.8,3798,27,8,102.4,209,39.4,50,12,69,49,2020
634,Jets,605,418,69.1,7.6,4409,34,10,103.2,235,38.8,50,9,54,31,2020
635,Giants,574,388,67.6,7.2,3807,22,11,93.2,215,37.5,43,6,68,40,2020
636,Saints,557,333,59.8,6.7,3472,28,18,83.3,185,33.2,49,9,74,45,2020
637,Patriots,494,333,67.4,7.5,3557,22,18,89.3,187,37.9,48,8,54,24,2020
638,Vikings,541,358,66.2,7.9,4141,30,15,97.0,208,38.4,63,12,61,23,2020
639,Dolphins,545,343,62.9,8.0,4024,21,18,87.0,193,35.4,57,12,85,41,2020
640,Raiders,580,370,63.8,7.5,4212,28,10,95.3,223,38.4,50,7,92,21,2020
641,Rams,548,347,63.3,6.2,3051,17,14,80.4,170,31.0,36,4,59,53,2020
642,Chiefs,557,349,62.7,7.1,3779,29,16,89.4,202,36.3,54,9,72,32,2020
643,Jaguars,533,370,69.4,8.1,4231,34,12,105.6,210,39.4,52,9,78,18,2020
644,Colts,562,369,65.7,7.3,3866,24,15,90.5,203,36.1,53,6,73,40,2020
645,Texans,541,377,69.7,8.0,4104,30,3,109.6,222,41.0,52,11,73,34,2020
646,Titans,630,423,67.1,7.3,4439,36,15,97.5,247,39.2,55,8,75,19,2020
647,Packers,536,346,64.6,7.1,3539,23,11,91.1,184,34.3,39,9,53,41,2020
648,Lions,557,383,68.8,8.5,4558,38,7,112.4,253,45.4,66,8,75,24,2020
649,Broncos,567,374,66.0,7.2,3807,21,10,92.1,201,35.4,59,6,84,42,2020
650,Cowboys,513,328,63.9,7.4,3642,34,10,100.4,180,35.1,51,11,81,31,2020
651,Browns,585,371,63.4,7.2,3962,31,11,94.8,214,36.6,49,10,47,38,2020
652,Bengals,541,340,62.8,7.3,3859,32,11,96.1,192,35.5,57,8,55,17,2020
653,Bears,547,350,64.0,7.2,3705,28,10,94.9,190,34.7,50,7,72,35,2020
654,Panthers,585,398,68.0,6.9,3825,28,7,98.4,211,36.1,50,6,50,29,2020
655,Bills,573,369,64.4,6.9,3726,23,15,86.9,199,34.7,44,7,69,38,2020
656,Ravens,596,380,63.8,6.4,3536,22,10,87.2,213,35.7,38,4,50,39,2020
657,Falcons,625,425,68.0,7.9,4697,34,12,101.7,239,38.2,66,9,58,29,2020
658,Football ,597,400,67.0,7.6,4333,34,11,100.8,220,36.9,51,10,72,38,2021
659,Buccaneers,680,445,65.4,6.4,4062,26,17,85.6,214,31.5,55,5,75,47,2021
660,Seahawks,658,443,67.3,7.2,4513,24,11,93.6,240,36.5,49,8,76,34,2021
661,49ers,545,372,68.3,7.1,3510,25,9,97.0,180,33.0,54,11,91,48,2021
662,Chargers,559,357,63.9,7.1,3761,27,11,93.0,199,35.6,53,12,71,35,2021
663,Steelers,563,355,63.1,7.1,3656,24,13,88.7,186,33.0,44,6,62,55,2021
664,Cardinals,561,367,65.4,6.9,3645,30,13,93.5,192,34.2,43,7,64,41,2021
665,Eagles,589,409,69.4,6.8,3756,28,12,95.4,208,35.3,38,7,64,29,2021
666,Jets,587,401,68.3,8.0,4409,28,7,103.2,234,39.9,73,9,65,33,2021
667,Giants,611,402,65.8,6.6,3839,27,15,89.0,216,35.4,42,6,59,34,2021
668,Saints,592,369,62.3,7.0,3821,20,18,81.7,185,31.3,56,11,84,46,2021
669,Patriots,538,319,59.3,6.4,3181,21,23,73.3,176,32.7,38,4,67,36,2021
670,Vikings,626,401,64.1,7.5,4300,29,16,91.4,224,35.8,56,5,77,51,2021
671,Dolphins,608,373,61.3,7.0,3871,23,14,85.4,199,32.7,62,7,64,48,2021
672,Raiders,606,400,66.0,6.6,3789,29,6,96.4,202,33.3,43,10,52,35,2021
673,Rams,625,416,66.6,7.2,4109,17,19,83.8,214,34.2,53,10,63,50,2021
674,Chiefs,610,401,65.7,7.3,4273,27,15,92.0,209,34.3,52,13,72,31,2021
675,Jaguars,543,377,69.4,7.6,3875,24,7,100.8,198,36.5,55,7,55,32,2021
676,Colts,597,390,65.3,7.0,3980,32,19,90.5,213,35.7,43,8,69,33,2021
677,Texans,546,363,66.5,8.0,4117,27,17,94.1,218,39.9,55,12,68,32,2021
678,Titans,628,395,62.9,7.1,4169,24,16,86.4,204,32.5,60,11,68,43,2021
679,Packers,603,379,62.9,6.7,3724,31,18,86.9,194,32.2,44,15,79,39,2021
680,Lions,544,359,66.0,8.0,4160,31,11,101.0,211,38.8,56,11,79,30,2021
681,Broncos,562,341,60.7,6.9,3652,22,13,85.0,192,34.2,48,11,59,36,2021
682,Cowboys,612,364,59.5,7.1,4049,24,26,76.6,191,31.2,62,14,75,41,2021
683,Browns,576,367,63.7,6.4,3439,29,13,89.4,184,31.9,45,5,75,43,2021
684,Bengals,626,420,67.1,7.2,4222,26,13,93.1,213,34.0,65,8,60,42,2021
685,Bears,477,314,65.8,7.6,3257,31,8,103.3,170,35.6,48,12,83,49,2021
686,Panthers,515,337,65.4,6.9,3266,26,9,95.0,170,33.0,46,7,62,39,2021
687,Bills,530,297,56.0,5.7,2771,12,19,65.3,138,26.0,31,6,73,42,2021
688,Ravens,621,397,63.9,8.0,4742,31,9,99.4,232,37.4,74,16,82,34,2021
689,Falcons,577,391,67.8,7.1,3952,31,12,97.4,214,37.1,51,0,38,18,2021
