,Team,Att,Rush_Yds,YPC,TD,20+,40+,Lng,Rush_1st,Rush_1st%,Rush_FUM,Years
425,Broncos,420,1626,3.9,15,13,0,35,90,21.4,9,2013
426,Cowboys,437,2056,4.7,17,8,3,60,122,27.9,4,2013
427,Browns,462,1781,3.9,13,8,2,54,103,22.3,4,2013
428,Bengals,385,1544,4.0,6,6,3,51,72,18.7,4,2013
429,Bears,483,2583,5.3,22,18,5,65,147,30.4,11,2013
430,Panthers,352,1391,4.0,4,8,1,46,70,19.9,5,2013
431,Bills,471,2063,4.4,10,19,2,80,98,20.8,7,2013
432,Ravens,440,1687,3.8,7,5,2,43,79,18.0,6,2013
433,Falcons,455,2173,4.8,14,14,6,80,102,22.4,5,2013
434,Redskins,421,1722,4.1,11,9,3,65,77,18.3,12,2014
435,Buccaneers,468,1819,3.9,15,10,3,57,103,22.0,8,2014
436,Seahawks,380,1304,3.4,8,7,1,47,70,18.4,10,2014
437,49ers,402,1612,4.0,7,10,0,37,83,20.6,4,2014
438,Chargers,438,1986,4.5,11,12,3,90,98,22.4,10,2014
439,Steelers,368,1605,4.4,9,11,1,41,88,23.9,9,2014
440,Cardinals,396,1739,4.4,9,13,5,79,77,19.4,4,2014
441,Eagles,473,1771,3.7,14,9,0,37,88,18.6,10,2014
442,Jets,393,1489,3.8,10,7,2,97,74,18.8,5,2014
443,Giants,438,2162,4.9,15,17,2,46,112,25.6,10,2014
444,Saints,442,2125,4.8,17,19,3,69,111,25.1,5,2014
445,Patriots,419,1669,4.0,6,2,1,48,88,21.0,6,2014
446,Vikings,450,1943,4.3,10,6,2,53,100,22.2,3,2014
447,Dolphins,453,1937,4.3,13,16,4,47,99,21.9,7,2014
448,Raiders,481,1911,4.0,17,8,3,89,95,19.8,7,2014
449,Rams,425,1765,4.2,12,13,4,67,83,19.5,13,2014
450,Chiefs,433,2036,4.7,4,8,1,90,108,24.9,4,2014
451,Jaguars,499,2033,4.1,15,16,4,60,107,21.4,4,2014
452,Colts,423,1814,4.3,14,11,1,52,103,24.3,9,2014
453,Texans,420,1681,4.0,6,11,1,41,89,21.2,8,2014
454,Titans,515,2195,4.3,17,9,4,62,119,23.1,2,2014
455,Packers,449,1919,4.3,11,6,1,40,116,25.8,11,2014
456,Lions,350,1109,3.2,8,7,0,35,59,16.9,6,2014
457,Broncos,349,1276,3.7,9,7,1,85,60,17.2,3,2014
458,Cowboys,392,1650,4.2,18,12,1,62,86,21.9,2,2014
459,Browns,500,2265,4.5,13,16,0,38,126,25.2,6,2014
460,Bengals,439,1861,4.2,16,7,2,53,105,23.9,7,2014
461,Bears,421,1803,4.3,12,10,3,48,78,18.5,5,2014
462,Panthers,397,1792,4.5,14,10,5,89,91,22.9,6,2014
463,Bills,414,1703,4.1,10,10,1,47,89,21.5,6,2014
464,Ravens,390,1412,3.6,8,8,1,67,75,19.2,8,2014
465,Falcons,450,1894,4.2,21,9,2,55,108,24.0,5,2014
466,Redskins,406,1962,4.8,10,11,4,70,103,25.4,13,2015
467,Buccaneers,466,1606,3.4,12,4,0,21,104,22.3,9,2015
468,Seahawks,362,1304,3.6,10,4,1,48,71,19.6,9,2015
469,49ers,504,2020,4.0,20,9,4,71,128,25.4,4,2015
470,Chargers,417,2005,4.8,17,21,3,65,101,24.2,7,2015
471,Steelers,382,1459,3.8,6,6,1,44,71,18.6,12,2015
472,Cardinals,373,1460,3.9,9,12,2,52,79,21.2,12,2015
473,Eagles,478,2153,4.5,10,15,5,84,100,20.9,3,2015
474,Jets,373,1335,3.6,4,6,1,45,62,16.6,8,2015
475,Giants,444,1942,4.4,15,12,4,68,104,23.4,11,2015
476,Saints,421,2071,4.9,12,17,1,45,103,24.5,15,2015
477,Patriots,397,1580,4.0,8,8,1,48,77,19.4,6,2015
478,Vikings,411,1748,4.3,7,7,2,72,94,22.9,6,2015
479,Dolphins,502,2019,4.0,13,12,3,53,112,22.3,3,2015
480,Raiders,406,1678,4.1,12,8,2,80,94,23.2,2,2015
481,Rams,453,1820,4.0,7,15,1,47,98,21.6,9,2015
482,Chiefs,383,1571,4.1,7,9,1,42,86,22.5,7,2015
483,Jaguars,464,1709,3.7,15,12,1,87,102,22.0,4,2015
484,Colts,452,1952,4.3,14,16,3,56,89,19.7,10,2015
485,Texans,388,1597,4.1,10,10,1,85,79,20.4,5,2015
486,Titans,462,1797,3.9,11,10,0,32,101,21.9,3,2015
487,Packers,420,1905,4.5,13,14,4,55,96,22.9,8,2015
488,Lions,428,1808,4.2,18,14,5,75,96,22.4,7,2015
489,Broncos,408,1337,3.3,10,5,1,48,81,19.9,4,2015
490,Cowboys,461,1934,4.2,16,10,1,50,113,24.5,2,2015
491,Browns,458,2055,4.5,11,14,4,54,104,22.7,6,2015
492,Bengals,344,1477,4.3,8,11,3,69,74,21.5,4,2015
493,Bears,433,1934,4.5,9,5,1,44,103,23.8,6,2015
494,Panthers,364,1415,3.9,11,10,1,63,74,20.3,9,2015
495,Bills,394,1730,4.4,10,9,2,58,87,22.1,4,2015
496,Ravens,418,1661,4.0,10,9,1,62,80,19.1,7,2015
497,Falcons,416,1680,4.0,20,12,1,44,107,25.7,7,2015
498,Redskins,423,1916,4.5,19,12,0,35,109,25.8,10,2016
499,Buccaneers,427,1875,4.4,15,7,1,42,102,23.9,4,2016
500,Seahawks,441,1487,3.4,16,5,0,34,94,21.3,8,2016
501,49ers,548,2654,4.8,25,22,7,75,140,25.5,8,2016
502,Chargers,410,1567,3.8,20,12,1,40,98,23.9,6,2016
503,Steelers,369,1600,4.3,15,10,3,67,95,25.7,5,2016
504,Cardinals,424,1518,3.6,16,6,1,49,90,21.2,11,2016
505,Eagles,391,1652,4.2,10,14,4,72,89,22.8,2,2016
506,Jets,428,1581,3.7,11,12,3,58,86,20.1,12,2016
507,Giants,397,1417,3.6,10,5,0,33,82,20.7,5,2016
508,Saints,396,1626,4.1,19,8,4,75,91,23.0,5,2016
509,Patriots,368,1417,3.9,6,3,1,45,81,22.0,11,2016
510,Vikings,404,1711,4.2,9,6,2,69,87,21.5,12,2016
511,Dolphins,464,2247,4.8,12,18,2,60,109,23.5,7,2016
512,Raiders,421,1881,4.5,18,10,5,64,94,22.3,11,2016
513,Rams,424,1660,3.9,12,13,3,61,91,21.5,3,2016
514,Chiefs,437,1938,4.4,10,5,2,44,102,23.3,8,2016
515,Jaguars,446,1703,3.8,17,10,2,75,93,20.9,7,2016
516,Colts,409,1926,4.7,12,10,2,57,93,22.7,4,2016
517,Texans,397,1595,4.0,13,8,1,41,87,21.9,8,2016
518,Titans,356,1413,4.0,10,10,3,68,70,19.7,5,2016
519,Packers,376,1515,4.0,11,8,2,75,80,21.3,1,2016
520,Lions,389,1701,4.4,8,7,2,67,99,25.4,5,2016
521,Broncos,482,2085,4.3,15,13,4,70,101,21.0,8,2016
522,Cowboys,340,1336,3.9,9,6,0,36,79,23.2,8,2016
523,Browns,498,2283,4.6,18,14,3,74,121,24.3,3,2016
524,Bengals,412,1812,4.4,12,10,2,60,95,23.1,4,2016
