,Team,Rsh_TD,Rec_TD,Tot_TD,2-PT,Years
281,Eagles,14,27,47,2,2009
282,Jets,21,12,37,2,2009
283,Giants,14,28,46,0,2009
284,Saints,21,34,64,0,2009
285,Patriots,19,28,50,1,2009
286,Vikings,19,34,56,0,2009
287,Dolphins,22,15,41,1,2009
288,Raiders,7,10,17,0,2009
289,Rams,4,12,17,0,2009
290,Chiefs,8,18,31,1,2009
291,Jaguars,19,15,34,1,2009
292,Colts,16,34,53,0,2009
293,Texans,13,29,46,1,2009
294,Titans,19,16,39,1,2009
295,Packers,20,30,54,3,2009
296,Lions,9,16,28,1,2009
297,Broncos,9,21,34,0,2009
298,Cowboys,14,26,43,1,2009
299,Browns,10,11,25,1,2009
300,Bengals,9,21,34,2,2009
301,Bears,6,27,36,2,2009
302,Panthers,18,16,35,2,2009
303,Bills,6,17,25,0,2009
304,Ravens,22,21,47,0,2009
305,Falcons,15,26,44,0,2009
306,Redskins,9,21,33,2,2010
307,Buccaneers,9,26,39,1,2010
308,Seahawks,13,14,33,2,2010
309,49ers,10,19,34,1,2010
310,Chargers,18,30,51,2,2010
311,Steelers,15,22,41,2,2010
312,Cardinals,9,10,31,1,2010
313,Eagles,18,28,49,1,2010
314,Jets,14,20,39,1,2010
315,Giants,17,31,48,1,2010
316,Saints,9,33,44,0,2010
317,Patriots,19,37,65,0,2010
318,Vikings,16,14,33,1,2010
319,Dolphins,8,17,26,0,2010
320,Raiders,19,18,44,0,2010
321,Rams,9,18,27,0,2010
322,Chiefs,13,27,44,0,2010
323,Jaguars,14,26,41,0,2010
324,Colts,13,33,51,0,2010
325,Texans,20,24,44,1,2010
326,Titans,13,24,40,1,2010
327,Packers,11,31,46,0,2010
328,Lions,11,26,41,2,2010
329,Broncos,13,25,40,0,2010
330,Cowboys,10,29,46,2,2010
331,Browns,13,13,29,0,2010
332,Bengals,8,26,36,2,2010
333,Bears,10,23,37,1,2010
334,Panthers,7,9,17,0,2010
335,Bills,6,24,34,0,2010
336,Ravens,11,25,40,0,2010
337,Falcons,14,28,47,2,2010
338,Redskins,8,19,28,1,2011
339,Buccaneers,9,17,30,2,2011
340,Seahawks,15,15,35,0,2011
341,49ers,14,18,35,1,2011
342,Chargers,16,27,46,1,2011
343,Steelers,13,21,36,0,2011
344,Cardinals,12,21,37,0,2011
345,Eagles,20,22,46,0,2011
346,Jets,14,26,45,0,2011
347,Giants,17,29,47,4,2011
348,Saints,16,46,66,2,2011
349,Patriots,18,39,61,2,2011
350,Vikings,18,20,39,0,2011
351,Dolphins,11,20,33,0,2011
352,Raiders,16,20,38,0,2011
353,Rams,7,9,18,0,2011
354,Chiefs,5,13,20,0,2011
355,Jaguars,9,12,25,0,2011
356,Colts,8,14,25,0,2011
357,Texans,18,20,41,0,2011
358,Titans,8,22,34,0,2011
359,Packers,12,51,70,0,2011
360,Lions,9,41,57,2,2011
361,Broncos,11,20,36,3,2011
