,Team,FR_TD,SFTY,INT_TD,Years
339,Buccaneers,1,1,3,2011
340,Seahawks,0,1,4,2011
341,49ers,0,1,1,2011
342,Chargers,1,0,1,2011
343,Steelers,1,2,0,2011
344,Cardinals,0,0,0,2011
345,Eagles,3,1,1,2011
346,Jets,0,3,2,2011
347,Giants,1,2,0,2011
348,Saints,2,0,1,2011
349,Patriots,1,0,2,2011
350,Vikings,0,1,0,2011
351,Dolphins,0,0,1,2011
352,Raiders,1,1,0,2011
353,Rams,0,2,1,2011
354,Chiefs,0,0,2,2011
355,Jaguars,3,0,0,2011
356,Colts,1,0,2,2011
357,Texans,0,0,1,2011
358,Titans,0,0,1,2011
359,Packers,1,0,4,2011
360,Lions,2,1,5,2011
361,Broncos,0,0,3,2011
362,Cowboys,0,0,1,2011
363,Browns,0,0,0,2011
364,Bengals,2,1,1,2011
365,Bears,2,1,4,2011
366,Panthers,0,2,0,2011
367,Bills,2,1,4,2011
368,Ravens,3,0,1,2011
369,Falcons,1,0,2,2011
370,Redskins,1,0,3,2012
371,Buccaneers,0,0,3,2012
372,Seahawks,1,0,2,2012
373,49ers,1,1,2,2012
374,Chargers,2,1,5,2012
375,Steelers,0,0,1,2012
376,Cardinals,1,0,2,2012
377,Eagles,0,0,0,2012
378,Jets,1,1,2,2012
379,Giants,1,0,1,2012
380,Saints,0,0,4,2012
381,Patriots,3,1,2,2012
382,Vikings,0,0,3,2012
383,Dolphins,0,0,0,2012
384,Raiders,0,0,0,2012
385,Rams,1,1,4,2012
386,Chiefs,1,1,0,2012
387,Jaguars,0,0,0,2012
388,Colts,0,0,4,2012
389,Texans,0,1,3,2012
390,Titans,1,1,4,2012
391,Packers,1,0,1,2012
392,Lions,0,1,0,2012
393,Broncos,1,2,5,2012
394,Cowboys,2,0,1,2012
395,Browns,0,0,2,2012
396,Bengals,1,0,2,2012
397,Bears,1,0,8,2012
398,Panthers,0,1,3,2012
399,Bills,0,1,1,2012
400,Ravens,0,0,2,2012
401,Falcons,1,0,1,2012
402,Redskins,1,0,4,2013
403,Buccaneers,0,1,3,2013
404,Seahawks,1,2,3,2013
405,49ers,3,1,2,2013
406,Chargers,0,0,1,2013
407,Steelers,0,1,3,2013
408,Cardinals,1,2,4,2013
409,Eagles,1,2,1,2013
410,Jets,0,1,1,2013
411,Giants,0,0,2,2013
412,Saints,0,0,0,2013
413,Patriots,1,0,2,2013
414,Vikings,1,0,0,2013
415,Dolphins,0,1,2,2013
416,Raiders,2,0,1,2013
417,Rams,3,1,2,2013
418,Chiefs,2,0,5,2013
419,Jaguars,1,3,1,2013
420,Colts,0,2,1,2013
421,Texans,0,1,1,2013
422,Titans,2,0,1,2013
423,Packers,2,0,0,2013
424,Lions,1,2,1,2013
425,Broncos,1,0,1,2013
426,Cowboys,3,0,2,2013
427,Browns,1,0,3,2013
428,Bengals,1,0,4,2013
429,Bears,1,0,5,2013
430,Panthers,0,0,4,2013
431,Bills,1,0,2,2013
432,Ravens,0,0,1,2013
433,Falcons,1,0,2,2013
434,Redskins,0,0,0,2014
435,Buccaneers,0,0,3,2014
436,Seahawks,0,1,2,2014
437,49ers,1,0,2,2014
438,Chargers,3,1,0,2014
439,Steelers,1,1,4,2014
440,Cardinals,1,0,3,2014
441,Eagles,2,0,2,2014
442,Jets,0,1,0,2014
443,Giants,1,0,0,2014
444,Saints,0,2,0,2014
445,Patriots,2,0,0,2014
446,Vikings,1,0,2,2014
447,Dolphins,1,3,2,2014
448,Raiders,1,0,0,2014
449,Rams,0,0,3,2014
450,Chiefs,0,0,1,2014
451,Jaguars,2,1,1,2014
452,Colts,1,0,1,2014
453,Texans,1,1,4,2014
454,Titans,1,1,1,2014
455,Packers,1,1,3,2014
456,Lions,1,1,1,2014
457,Broncos,1,1,2,2014
458,Cowboys,1,0,2,2014
459,Browns,1,1,2,2014
460,Bengals,0,3,1,2014
461,Bears,0,0,1,2014
462,Panthers,0,0,2,2014
463,Bills,1,1,0,2014
464,Ravens,0,1,1,2014
