,Team,Att,Cmp,Cmp_%,Yds/Att,Pass_Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Att_Rush,Rush_Yds,YPC,TDC,20+C,40+C,LngC,Rush_1st,Rush_1st%,Rush_FUM,Tot_TD,Years
0,Redskins,561,343,61.1,6.9,3892,18,21,77,185,33,43,10,77,32,244,445,1748,3.9,14,8,1,50,98,22,6,32,2000
1,Buccaneers,433,237,54.7,6.5,2824,18,13,76.2,144,33.3,38,5,75,38,241,490,2066,4.2,18,12,2,70,111,22.7,6,43,2000
2,Seahawks,507,308,60.7,6.3,3198,21,21,75.5,168,33.1,26,7,71,46,238,403,1720,4.3,10,8,3,55,98,24.3,18,37,2000
3,49ers,583,366,62.8,7.5,4400,32,10,97,211,36.2,61,9,69,25,161,416,1801,4.3,15,10,1,42,98,23.6,8,49,2000
4,Chargers,578,311,53.8,6.1,3540,19,30,61.8,156,27,41,9,83,53,302,351,1062,3,7,3,0,26,63,17.9,16,31,2000
5,Steelers,439,217,49.4,6.2,2738,12,10,68.9,128,29.2,37,3,77,43,220,527,2248,4.3,19,16,1,45,124,23.5,9,35,2000
6,Cardinals,554,316,57,6.3,3478,16,24,67.4,156,28.2,41,11,70,35,228,343,1278,3.7,6,10,0,29,71,20.7,12,24,2000
7,Eagles,575,331,57.6,5.9,3386,21,15,75.9,182,31.7,46,5,70,45,262,397,1882,4.7,13,11,3,85,88,22.2,9,38,2000
8,Jets,637,352,55.3,6.3,4023,23,29,67.5,192,30.1,50,8,63,20,99,418,1471,3.5,11,8,1,55,84,20.1,7,36,2000
9,Giants,529,311,58.8,6.8,3610,22,13,83.1,195,36.9,46,7,59,28,243,507,2009,4,16,13,3,78,100,19.7,8,39,2000
10,Saints,497,298,60,7.2,3573,22,15,84.2,169,34,42,8,53,39,244,505,2068,4.1,14,7,2,40,117,23.2,13,41,2000
11,Patriots,565,328,58.1,6.1,3461,18,15,75.5,172,30.4,35,5,59,48,280,424,1390,3.3,9,4,0,35,80,18.9,12,28,2000
12,Vikings,495,307,62,8.1,4019,33,18,94.7,193,39,57,13,78,35,187,428,2129,5,14,16,4,72,107,25,10,47,2000
13,Dolphins,421,243,57.7,6.5,2720,15,17,72.2,122,29,32,8,61,28,153,496,1894,3.8,16,10,2,68,104,21,8,34,2000
14,Raiders,475,284,59.8,7.2,3430,28,11,92,177,37.3,42,8,84,28,124,520,2470,4.8,23,20,4,80,128,24.6,8,58,2000
15,Rams,587,380,64.7,9.4,5492,37,23,99.7,247,42.1,79,21,85,44,260,383,1843,4.8,26,8,1,49,112,29.2,3,67,2000
16,Chiefs,582,342,58.8,7.6,4408,29,15,88.5,207,35.6,59,8,81,34,259,383,1465,3.8,12,8,1,69,84,21.9,7,44,2000
17,Jaguars,545,333,61.1,7.2,3947,22,15,85.2,193,35.4,42,11,67,54,289,481,2032,4.2,18,13,2,71,109,22.7,11,40,2000
18,Colts,571,357,62.5,7.7,4413,33,15,94.7,213,37.3,51,8,78,20,131,435,1859,4.3,14,9,0,30,111,25.5,7,50,2000
19,Titans,462,286,61.9,7.4,3430,18,16,83.2,167,36.1,41,6,67,27,164,547,2084,3.8,14,9,0,35,107,19.6,12,38,2000
20,Packers,600,348,58,6.5,3916,21,16,78.2,197,32.8,43,7,67,34,238,404,1643,4.1,13,12,0,39,88,21.8,8,36,2000
21,Lions,503,277,55.1,5.9,2992,14,19,66.3,143,28.4,35,4,59,53,317,448,1747,3.9,15,7,0,34,101,22.5,8,33,2000
22,Broncos,569,354,62.2,7.8,4464,28,12,94.2,223,39.2,65,10,61,30,221,516,2311,4.5,21,17,3,80,124,24,9,58,2000
23,Cowboys,445,255,57.3,6.2,2771,14,21,66.6,128,28.8,33,6,76,35,249,463,1953,4.2,15,12,1,52,116,25.1,12,31,2000
24,Browns,483,278,57.6,5.6,2728,9,19,63.4,110,22.8,25,3,79,40,283,336,1085,3.2,7,2,1,42,53,15.8,5,17,2000
25,Bengals,454,207,45.6,4.9,2219,6,14,52,109,24,26,1,46,52,273,495,2314,4.7,13,19,6,80,119,24,12,21,2000
26,Bears,542,304,56.1,5.5,3005,12,16,67,143,26.4,29,6,68,34,200,417,1736,4.2,6,10,1,52,89,21.3,12,22,2000
27,Panthers,566,340,60.1,6.8,3850,19,19,77.7,201,35.5,47,2,54,69,382,363,1186,3.3,7,6,2,43,63,17.4,3,31,2000
28,Bills,546,312,57.1,7.2,3936,20,10,84.3,174,31.9,59,9,74,59,360,475,1922,4,11,10,1,59,111,23.4,9,34,2000
29,Ravens,504,287,56.9,6.2,3102,20,19,72.7,156,31,37,8,59,43,287,511,2199,4.3,9,11,1,45,116,22.7,8,32,2000
30,Redskins,432,235,54.4,6.3,2716,13,13,71.1,122,28.2,31,6,85,38,229,490,1948,4,10,9,0,32,104,21.2,19,25,2001
31,Buccaneers,592,362,61.1,6.1,3621,13,12,77.4,189,31.9,36,2,47,47,298,407,1371,3.4,17,6,0,39,84,20.6,3,34,2001
32,Seahawks,462,258,55.8,6.8,3164,15,12,77.2,140,30.3,45,12,64,49,328,469,1936,4.1,15,9,5,88,107,22.8,9,34,2001
33,49ers,506,318,62.8,7,3559,32,12,95,184,36.4,41,10,61,26,114,509,2244,4.4,16,11,1,43,121,23.8,10,51,2001
34,Chargers,548,309,56.4,6.7,3685,16,18,73.1,177,32.3,47,5,78,27,180,435,1695,3.9,13,9,2,67,92,21.1,10,35,2001
35,Steelers,454,274,60.4,7.3,3295,16,12,83.4,150,33,49,8,90,31,182,580,2774,4.8,17,25,6,48,148,25.5,16,38,2001
36,Cardinals,526,304,57.8,6.9,3653,18,14,79.5,177,33.7,52,11,68,29,204,400,1449,3.6,10,9,1,42,77,19.3,14,33,2001
37,Eagles,522,300,57.5,6.6,3427,27,14,83.4,146,28,46,9,64,40,282,412,1778,4.3,6,9,2,48,90,21.8,6,38,2001
38,Jets,464,272,58.6,6.2,2871,17,14,76.4,151,32.5,39,1,40,19,130,445,2054,4.6,11,14,2,47,105,23.6,10,34,2001
39,Giants,568,327,57.6,6.6,3764,19,16,77.1,189,33.3,52,7,76,36,206,424,1777,4.2,11,14,2,61,93,21.9,19,32,2001
40,Saints,562,313,55.7,6.8,3844,27,22,76.7,184,32.7,55,13,63,50,330,419,1712,4.1,8,4,2,54,87,20.8,16,36,2001
41,Patriots,482,306,63.5,6.9,3326,21,15,85.3,163,33.8,38,8,91,46,237,473,1793,3.8,15,10,2,44,101,21.4,12,43,2001
42,Vikings,555,335,60.4,6.9,3854,23,23,77.9,179,32.3,46,10,80,47,278,376,1609,4.3,10,7,0,34,88,23.4,11,35,2001
43,Dolphins,453,275,60.7,7.4,3335,20,19,80.6,154,34,42,7,74,27,178,473,1664,3.5,14,5,1,56,95,20.1,8,41,2001
44,Raiders,553,364,65.8,7,3862,27,9,95.5,195,35.3,45,5,49,27,155,450,1654,3.7,14,5,0,38,102,22.7,9,46,2001
45,Rams,551,379,68.8,8.9,4903,37,22,102.2,236,42.8,82,12,65,40,240,416,2027,4.9,20,14,6,71,104,25,11,62,2001
46,Chiefs,528,300,56.8,7.3,3863,17,24,71.7,178,33.7,53,13,67,39,198,448,2008,4.5,16,11,1,41,119,26.6,7,34,2001
47,Jaguars,534,321,60.1,6.9,3670,20,14,82.4,181,33.9,43,3,45,63,430,372,1600,4.3,11,13,1,54,85,22.8,8,34,2001
48,Colts,557,349,62.7,7.6,4227,27,23,84.9,206,37,57,11,86,30,238,438,1966,4.5,16,12,2,77,110,25.1,10,47,2001
49,Titans,515,307,59.6,7.5,3867,23,17,84.2,179,34.8,55,10,71,43,309,468,1794,3.8,12,12,2,51,87,18.6,13,39,2001
50,Packers,510,314,61.6,7.7,3921,32,15,94.1,187,36.7,53,13,67,22,151,410,1693,4.1,11,13,5,83,72,17.6,13,47,2001
51,Lions,609,343,56.3,6.5,3969,18,24,69.6,184,30.2,52,6,76,66,373,351,1398,4,8,13,0,38,74,21.1,4,30,2001
52,Broncos,511,312,61.1,6.3,3208,26,19,80.6,174,34.1,30,2,65,42,268,481,1877,3.9,7,11,2,62,106,22,8,35,2001
53,Cowboys,413,210,50.8,5.8,2408,14,20,59.9,110,26.6,32,8,80,34,190,505,2184,4.3,8,14,5,80,114,22.6,10,26,2001
54,Browns,466,279,59.9,6.8,3154,18,21,74.3,139,29.8,42,7,78,51,353,417,1351,3.2,8,6,2,51,78,18.7,10,31,2001
55,Bengals,602,322,53.5,5.5,3291,12,26,58.1,176,29.2,32,2,49,28,203,441,1712,3.9,11,13,2,96,96,21.8,12,25,2001
56,Bears,528,315,59.7,5.8,3072,20,16,76,153,29,35,7,66,17,120,475,1742,3.7,12,10,1,46,100,21.1,6,37,2001
57,Panthers,579,314,54.2,5.4,3098,12,22,60.6,144,24.9,32,4,48,32,216,354,1372,3.9,9,4,0,39,68,19.2,11,27,2001
58,Bills,557,327,58.7,6.7,3722,18,20,74.7,180,32.3,48,10,80,46,271,406,1686,4.2,9,8,2,68,75,18.5,7,31,2001
59,Ravens,557,320,57.5,6.5,3595,18,20,72.7,180,32.3,43,6,77,40,281,483,1810,3.7,11,11,1,55,92,19,15,31,2001
60,Redskins,559,300,53.7,6.3,3523,24,20,72.5,165,29.5,36,7,62,38,269,442,1889,4.3,10,12,0,33,107,24.2,9,37,2002
61,Buccaneers,567,348,61.4,6.5,3665,23,10,86.3,172,30.3,37,6,76,41,220,414,1557,3.8,6,9,1,59,90,21.7,6,35,2002
62,Seahawks,587,361,61.5,7.3,4257,19,16,83,208,35.4,45,8,83,33,179,430,1740,4,17,13,4,58,104,24.2,6,41,2002
63,49ers,571,354,62,6.3,3576,23,10,86,182,31.9,32,7,76,22,119,489,2244,4.6,16,12,1,40,141,28.8,6,41,2002
64,Chargers,538,324,60.2,6.3,3368,17,16,76.5,166,30.9,42,5,52,24,180,466,2137,4.6,19,15,2,76,117,25.1,3,40,2002
65,Steelers,551,350,63.5,7.3,4036,26,22,84.6,200,36.3,51,8,72,34,204,512,2120,4.1,15,14,2,42,119,23.2,8,43,2002
66,Cardinals,548,291,53.1,5.5,3038,18,22,63.7,148,27,30,3,80,41,298,414,1823,4.4,10,13,3,58,94,22.7,14,31,2002
67,Eagles,548,318,58,6.6,3606,27,11,85.9,164,29.9,49,7,59,36,222,489,2220,4.5,15,16,3,57,124,25.4,11,46,2002
68,Jets,485,329,67.8,7.5,3619,25,10,98.3,190,39.2,44,3,47,32,201,400,1618,4,12,8,1,61,86,21.5,5,41,2002
69,Giants,549,338,61.6,7.5,4103,19,14,85.4,195,35.5,61,4,82,24,152,486,1875,3.9,14,13,5,70,95,19.5,14,35,2002
70,Saints,538,291,54.1,6.8,3685,27,15,80.8,169,31.4,48,13,64,37,244,426,1764,4.1,16,11,4,62,91,21.4,8,49,2002
71,Patriots,605,374,61.8,6.2,3767,28,14,85.3,184,30.4,37,3,49,31,190,395,1508,3.8,9,6,2,45,99,25.1,8,43,2002
72,Vikings,558,337,60.4,7.1,3951,19,23,76.1,191,34.2,50,10,61,49,266,473,2507,5.3,26,18,4,85,139,29.4,13,46,2002
73,Dolphins,455,271,59.6,6.7,3069,18,15,79.3,155,34.1,38,5,77,25,179,530,2502,4.7,24,9,5,63,139,26.2,13,44,2002
74,Raiders,619,418,67.5,7.6,4689,26,10,97.2,226,36.5,48,8,75,36,214,414,1762,4.3,21,11,0,36,113,27.3,4,53,2002
75,Rams,635,408,64.3,7.1,4480,24,27,79.9,219,34.5,56,7,58,46,326,343,1405,4.1,11,9,3,44,76,22.2,7,37,2002
76,Chiefs,477,292,61.2,7.9,3763,27,13,93.5,179,37.5,47,13,99,26,141,462,2378,5.1,26,16,1,56,140,30.3,3,57,2002
77,Jaguars,462,268,58,6.5,3019,18,9,82.5,156,33.8,30,6,79,42,257,455,2089,4.6,19,17,3,63,105,23.1,5,38,2002
78,Colts,591,392,66.3,7.1,4200,27,19,88.8,213,36,51,11,69,23,145,434,1561,3.6,12,6,1,49,93,21.4,5,40,2002
79,Texans,447,235,52.6,5.9,2636,11,15,64.7,119,26.6,32,5,81,76,411,424,1347,3.2,6,4,0,37,59,13.9,17,22,2002
80,Titans,500,306,61.2,6.9,3441,22,15,83.9,182,36.4,35,6,55,21,121,511,1952,3.8,16,6,0,39,112,21.9,4,42,2002
81,Packers,580,361,62.2,6.6,3823,29,16,86.6,197,34,42,7,85,27,196,451,1933,4.3,12,9,2,43,94,20.8,9,45,2002
82,Lions,577,277,48,5.5,3168,19,25,57.9,150,26,40,10,64,20,174,358,1477,4.1,9,14,2,56,69,19.3,5,34,2002
83,Broncos,554,359,64.8,7.5,4139,21,20,84.8,199,35.9,43,10,82,46,315,457,2266,5,21,15,3,59,125,27.4,11,45,2002
84,Cowboys,471,252,53.5,6.4,3020,14,16,69.1,129,27.4,34,10,80,54,399,423,1754,4.1,7,9,1,46,87,20.6,6,26,2002
85,Browns,552,338,61.2,6.6,3665,27,22,80.5,171,31,47,10,78,35,253,406,1615,4,10,8,2,64,77,19,5,40,2002
86,Bengals,591,350,59.2,6.3,3732,17,22,71.8,186,31.5,32,5,72,37,256,426,1730,4.1,13,7,1,67,105,24.6,7,34,2002
87,Bears,543,310,57.1,6.1,3316,22,18,74.8,156,28.7,49,7,76,44,265,382,1344,3.5,8,6,0,34,79,20.7,12,31,2002
88,Panthers,464,255,55,6.4,2981,15,22,65.7,133,28.7,51,6,69,44,287,452,1586,3.5,11,7,1,59,82,18.1,9,30,2002
89,Bills,612,377,61.6,7.1,4364,24,15,86,218,35.6,45,13,73,54,369,388,1596,4.1,17,10,0,34,90,23.2,14,44,2002
90,Redskins,527,283,53.7,6.2,3273,21,16,73.3,156,29.6,45,4,64,43,267,421,1653,3.9,8,9,0,38,95,22.6,7,30,2003
91,Buccaneers,592,369,62.3,6.7,3941,27,22,81.5,190,32.1,38,9,76,23,136,421,1648,3.9,5,3,2,61,86,20.4,6,36,2003
92,Seahawks,521,317,60.8,7.4,3872,27,16,88.2,190,36.5,54,5,80,43,254,453,2009,4.4,17,12,3,55,121,26.7,9,48,2003
93,49ers,511,299,58.5,7,3566,25,15,84,172,33.7,46,7,75,28,158,499,2279,4.6,16,13,2,78,118,23.6,12,44,2003
94,Chargers,525,297,56.6,6.1,3226,21,19,73.1,146,27.8,45,6,73,29,205,417,2146,5.1,16,13,5,73,117,28.1,9,38,2003
95,Steelers,532,306,57.5,6.7,3548,19,17,76.4,174,32.7,46,5,81,42,244,446,1488,3.3,10,5,0,32,77,17.3,8,33,2003
96,Cardinals,534,303,56.7,6.1,3265,18,22,68.9,147,27.5,38,8,71,44,306,403,1531,3.8,5,5,0,36,80,19.9,12,25,2003
97,Eagles,484,279,57.6,6.8,3273,17,11,80.5,156,32.2,45,9,59,43,253,417,2015,4.8,23,15,3,64,105,25.2,8,43,2003
98,Jets,496,312,62.9,7.1,3524,20,14,85.8,181,36.5,44,8,65,31,208,409,1635,4,8,8,1,56,78,19.1,6,29,2003
99,Giants,616,344,55.8,5.9,3642,16,20,68.4,184,29.9,35,8,77,44,259,387,1559,4,6,6,0,27,90,23.3,9,26,2003
100,Saints,535,314,58.7,6.8,3641,25,8,88.7,177,33.1,36,7,76,36,203,448,2000,4.5,11,17,3,76,100,22.3,12,39,2003
101,Patriots,537,320,59.6,6.8,3651,23,13,84.3,177,33,44,8,82,32,219,473,1607,3.4,9,5,1,42,91,19.2,7,39,2003
102,Vikings,520,333,64,8,4169,32,13,99,194,37.3,52,15,72,42,218,493,2343,4.8,15,10,3,61,124,25.2,15,51,2003
103,Dolphins,450,257,57.1,6.7,3001,17,19,72.5,145,32.2,43,5,80,31,209,487,1817,3.7,14,9,2,68,99,20.3,6,35,2003
104,Raiders,521,278,53.4,5.7,2988,9,14,65,140,26.9,38,2,47,43,237,423,1822,4.3,15,11,3,53,98,23.2,8,29,2003
105,Rams,600,377,62.8,7.1,4287,23,23,81,211,35.2,64,6,48,43,326,411,1496,3.6,19,7,1,52,97,23.6,5,47,2003
106,Chiefs,536,339,63.2,7.7,4113,24,12,92.4,201,37.5,55,8,67,21,132,446,1929,4.3,32,11,0,39,120,26.9,2,63,2003
107,Jaguars,515,303,58.8,6.6,3421,17,17,76,163,31.7,40,8,84,28,136,481,2073,4.3,13,11,2,62,118,24.5,8,31,2003
108,Colts,569,381,67,7.5,4289,29,10,99,212,37.3,45,9,79,19,110,453,1695,3.7,16,5,1,43,104,23,11,48,2003
109,Texans,439,248,56.5,6.5,2841,14,18,69.7,127,28.9,32,7,78,36,186,421,1651,3.9,14,6,1,51,86,20.4,8,29,2003
110,Titans,502,315,62.7,8,4031,30,9,100.3,211,42,55,12,73,25,153,486,1623,3.3,11,6,0,28,84,17.3,8,48,2003
111,Packers,473,310,65.5,7.1,3377,32,21,90.5,166,35.1,42,7,66,19,137,507,2558,5,18,20,7,98,127,25,12,53,2003
112,Lions,588,319,54.3,5.1,2988,17,24,61.1,152,25.9,26,3,72,11,64,376,1338,3.6,5,8,0,39,69,18.4,7,29,2003
113,Broncos,479,280,58.5,6.5,3126,19,18,75.6,162,33.8,35,6,72,25,157,543,2629,4.8,20,22,8,65,133,24.5,10,42,2003
114,Cowboys,510,294,57.6,6.6,3347,17,21,71.4,149,29.2,49,7,64,37,185,515,1999,3.9,11,6,3,63,115,22.3,8,31,2003
115,Browns,509,313,61.5,6.1,3116,17,18,75.2,153,30.1,25,6,71,40,282,412,1670,4.1,8,7,1,78,91,22.1,13,27,2003
116,Bengals,520,324,62.3,6.9,3591,26,15,87.4,181,34.8,37,11,82,37,249,481,1987,4.1,12,10,4,54,101,21,2,40,2003
117,Bears,515,271,52.6,5.6,2905,12,20,61,143,27.8,37,5,61,43,288,443,1763,4,13,8,1,67,104,23.5,10,29,2003
118,Panthers,460,270,58.7,7,3238,19,16,79.6,146,31.7,46,9,67,26,188,522,2091,4,9,12,1,40,114,21.8,11,33,2003
119,Bills,502,293,58.4,6.1,3069,11,17,69.4,150,29.9,31,2,54,51,385,427,1664,3.9,13,6,1,64,96,22.5,14,27,2003
120,Redskins,514,288,56,5.6,2874,18,17,70,156,30.4,27,5,51,38,242,471,1765,3.7,6,8,1,64,91,19.3,8,26,2004
121,Buccaneers,512,340,66.4,7.4,3773,24,18,89.1,175,34.2,50,10,75,44,299,393,1489,3.8,9,5,2,78,74,18.8,10,37,2004
122,Seahawks,532,304,57.1,7,3715,23,18,79.1,189,35.5,47,4,60,34,176,468,2095,4.5,17,15,2,44,110,23.5,11,43,2004
123,49ers,561,325,57.9,6.2,3455,16,21,69.9,172,30.7,28,3,65,52,319,413,1449,3.5,10,7,1,60,83,20.1,11,29,2004
124,Chargers,450,288,64,7.8,3506,29,8,102,160,35.6,45,9,79,21,149,525,2185,4.2,24,19,4,52,131,25,11,55,2004
125,Steelers,358,228,63.7,8.3,2970,20,13,93.2,147,41.1,47,7,58,36,250,618,2464,4,16,10,1,58,134,21.7,6,41,2004
126,Cardinals,533,299,56.1,6,3202,14,18,68.5,152,28.5,38,4,48,39,320,475,1668,3.5,15,9,1,62,86,18.1,8,31,2004
127,Eagles,547,336,61.4,7.7,4208,32,11,96.4,188,34.4,56,20,80,37,229,376,1639,4.4,10,11,3,50,87,23.1,2,44,2004
128,Jets,438,282,64.4,7.4,3231,19,11,90.5,163,37.2,38,9,69,31,181,527,2388,4.5,15,10,0,33,135,25.6,6,38,2004
129,Giants,475,269,56.6,6.5,3097,12,13,73.5,143,30.1,35,10,62,52,279,424,1904,4.5,18,12,3,72,105,24.8,9,34,2004
130,Saints,542,309,57,7,3810,21,16,79.5,177,32.7,57,5,57,41,223,406,1606,4,15,10,3,71,82,20.2,12,40,2004
131,Patriots,485,293,60.4,7.7,3750,29,14,92.5,193,39.8,53,10,50,26,162,524,2134,4.1,15,9,1,44,120,22.9,7,49,2004
132,Vikings,552,380,68.8,8.6,4754,39,12,109.8,225,40.8,64,18,82,46,238,387,1823,4.7,8,8,1,49,98,25.3,9,50,2004
133,Dolphins,586,309,52.7,5.8,3391,19,26,62.5,165,28.2,38,5,76,52,326,384,1339,3.5,10,7,1,53,71,18.5,9,31,2004
134,Raiders,582,330,56.7,6.9,4019,24,22,76.1,176,30.2,55,11,63,30,161,327,1295,4,10,6,3,60,75,22.9,6,35,2004
135,Rams,580,372,64.1,8,4615,23,22,86.1,203,35,67,8,75,50,362,381,1624,4.3,11,7,3,48,96,25.2,2,37,2004
136,Chiefs,561,370,66,8.3,4633,27,17,94.9,228,40.6,60,10,70,32,227,496,2289,4.6,31,10,2,46,138,27.8,7,62,2004
137,Jaguars,513,305,59.5,6.5,3315,17,11,80.7,161,31.4,35,7,65,32,156,446,1850,4.1,9,9,2,46,88,19.7,5,26,2004
138,Colts,527,353,67,9,4732,51,10,119.7,238,45.2,69,14,80,14,109,427,1852,4.3,10,7,2,55,94,22,9,66,2004
139,Texans,471,286,60.7,7.5,3547,16,14,83,174,36.9,47,6,69,49,301,481,1882,3.9,16,7,2,44,103,21.4,9,37,2004
140,Titans,589,356,60.4,6.7,3933,27,19,82.1,200,34,46,5,48,44,317,420,1871,4.5,12,9,2,52,85,20.2,10,41,2004
141,Packers,598,382,63.9,7.6,4550,36,19,93.8,228,38.1,58,13,79,14,101,441,1908,4.3,9,11,2,90,98,22.2,9,50,2004
142,Lions,505,285,56.4,6.2,3124,19,13,76.7,142,28.1,43,4,62,37,208,407,1777,4.4,7,14,2,74,92,22.6,3,32,2004
143,Broncos,521,303,58.2,7.8,4089,27,20,84.5,184,35.3,55,9,85,15,90,534,2333,4.4,13,13,3,51,127,23.8,13,42,2004
144,Cowboys,519,308,59.3,7,3636,19,23,74.5,171,32.9,48,4,53,36,208,449,1769,3.9,14,10,1,53,101,22.5,10,33,2004
145,Browns,439,251,57.2,7,3076,21,21,74.9,125,28.5,36,14,99,41,252,441,1657,3.8,6,9,1,46,94,21.3,16,29,2004
146,Bengals,536,324,60.4,6.6,3520,23,22,77,172,32.1,42,8,76,31,219,437,1839,4.2,14,8,1,52,93,21.3,8,42,2004
147,Bears,471,249,52.9,5.6,2641,9,16,61.7,121,25.7,33,5,63,66,449,430,1624,3.8,10,7,2,54,84,19.5,10,26,2004
148,Panthers,536,311,58,7.3,3889,29,15,87,192,35.8,60,8,63,33,246,422,1582,3.7,10,4,2,71,85,20.1,5,42,2004
149,Bills,461,262,56.8,6.6,3032,21,17,76.7,149,32.3,33,9,69,38,215,483,1874,3.9,15,16,2,48,102,21.1,10,46,2004
150,Redskins,481,278,57.8,7,3346,25,11,87,166,34.5,40,11,78,31,240,525,2183,4.2,15,10,3,52,114,21.7,10,44,2005
151,Buccaneers,487,303,62.2,6.5,3171,17,14,80.7,161,33.1,34,6,80,41,281,457,1826,4,13,12,3,71,83,18.2,5,33,2005
152,Seahawks,474,307,64.8,7.7,3632,25,10,96.8,192,40.5,44,8,56,27,174,519,2457,4.7,29,17,5,88,142,27.4,7,57,2005
153,49ers,389,204,52.4,5.6,2190,8,21,53.6,96,24.7,27,4,89,48,292,428,1689,3.9,9,11,3,73,70,16.4,8,23,2005
154,Chargers,526,338,64.3,7.1,3738,27,16,89.7,191,36.3,48,4,54,31,243,465,2072,4.5,22,11,3,83,116,24.9,2,51,2005
155,Steelers,379,228,60.2,8.2,3104,21,14,89.4,144,38,44,14,85,32,178,549,2223,4,21,11,4,80,120,21.9,10,45,2005
156,Cardinals,670,419,62.5,7,4723,21,21,81,224,33.4,63,12,63,45,286,360,1138,3.2,2,2,0,32,58,16.1,10,26,2005
157,Eagles,620,337,54.4,6.3,3903,21,20,71.5,182,29.4,49,8,91,42,226,365,1432,3.9,11,8,2,59,73,20,14,35,2005
158,Jets,470,268,57,6.4,2989,11,15,70.6,146,31.1,34,5,60,53,347,384,1328,3.5,10,4,2,49,74,19.3,11,25,2005
159,Giants,558,294,52.7,6.7,3762,24,17,75.7,172,30.8,49,8,78,28,184,469,2209,4.7,17,18,7,95,106,22.6,4,45,2005
160,Saints,553,308,55.7,6.5,3604,15,24,66.6,182,32.9,47,5,66,41,261,423,1688,4,8,10,1,42,89,21,6,23,2005
161,Patriots,564,352,62.4,7.7,4322,28,15,91.5,204,36.2,62,9,71,28,202,439,1512,3.4,16,5,0,31,101,23,6,46,2005
162,Vikings,510,323,63.3,6.8,3449,18,16,81.7,169,33.1,31,8,80,54,303,381,1467,3.9,10,8,1,61,83,21.8,8,33,2005
163,Dolphins,556,291,52.3,6.2,3458,22,16,72.8,159,28.6,44,11,77,26,158,444,1898,4.3,11,10,3,65,93,20.9,10,34,2005
164,Raiders,591,316,53.5,6.6,3883,21,14,76,189,32,50,6,79,45,301,361,1369,3.8,11,7,0,27,80,22.2,5,33,2005
165,Rams,599,392,65.4,7.3,4351,23,24,83,209,34.9,41,8,83,46,315,380,1535,4,13,7,2,51,82,21.6,11,40,2005
166,Chiefs,507,317,62.5,7.9,4014,17,10,90.1,182,35.9,51,11,60,32,204,520,2382,4.6,26,19,2,49,138,26.5,9,46,2005
167,Jaguars,487,283,58.1,6.9,3352,21,6,88.4,170,34.9,43,5,45,32,162,502,1959,3.9,18,12,2,71,97,19.3,2,42,2005
168,Colts,515,347,67.4,8.1,4191,31,11,103.3,217,42.1,49,7,80,20,95,465,1703,3.7,18,6,0,33,116,24.9,4,53,2005
169,Texans,449,270,60.1,5.9,2661,15,13,76,142,31.6,21,2,53,68,424,437,1816,4.2,9,5,2,44,89,20.4,6,26,2005
170,Titans,594,358,60.3,6.4,3797,20,14,80.3,191,32.2,34,8,57,31,200,397,1525,3.8,8,7,0,38,72,18.1,8,33,2005
171,Packers,626,383,61.2,6.3,3964,20,30,70.1,206,32.9,40,7,59,27,198,398,1352,3.4,11,5,1,64,76,19.1,10,34,2005
172,Lions,520,297,57.1,5.8,3021,15,18,69.1,151,29,35,8,86,31,173,404,1471,3.6,10,4,2,77,69,17.1,4,28,2005
173,Broncos,465,279,60,7.3,3373,18,7,88.9,162,34.8,44,8,72,23,146,542,2539,4.7,25,17,5,68,145,26.8,6,46,2005
174,Cowboys,500,300,60,7.3,3639,23,17,83.6,177,35.4,42,9,71,50,298,521,1861,3.6,13,7,2,51,97,18.6,16,38,2005
175,Browns,497,297,59.8,6.7,3323,15,17,75.5,149,30,38,8,80,46,276,395,1503,3.8,4,8,1,75,76,19.2,12,22,2005
176,Bengals,538,362,67.3,7.3,3935,32,14,97.6,203,37.7,43,9,70,21,115,459,1910,4.2,15,7,0,33,109,23.7,3,48,2005
177,Bears,418,219,52.4,5.3,2201,11,15,61.5,111,26.6,27,4,54,31,199,488,2099,4.3,11,19,1,42,99,20.3,9,28,2005
178,Panthers,449,269,59.9,7.8,3485,25,16,88.1,157,35,44,13,80,28,214,487,1679,3.4,17,6,1,70,82,16.8,6,45,2005
179,Bills,459,269,58.6,6.2,2852,18,16,75.4,129,28.1,29,9,65,43,337,428,1607,3.8,6,8,0,39,96,22.4,8,26,2005
180,Redskins,470,274,58.3,6.8,3174,19,10,83.4,150,31.9,39,10,74,19,147,490,2216,4.5,13,13,0,38,123,25.1,12,34,2006
181,Buccaneers,535,296,55.3,5.6,2994,14,18,66.2,133,24.9,30,7,64,33,196,404,1523,3.8,6,6,0,38,82,20.3,10,23,2006
182,Seahawks,512,292,57,6.6,3369,26,22,76,167,32.6,41,7,72,49,315,484,1923,4,8,8,0,37,112,23.1,9,37,2006
183,49ers,444,257,57.9,6.5,2890,16,16,74.4,132,29.7,34,8,75,35,202,439,2172,4.9,12,20,6,72,97,22.1,10,30,2006
184,Chargers,466,287,61.6,7.3,3412,24,9,93,169,36.3,41,5,57,28,150,522,2578,4.9,32,20,9,85,137,26.2,8,59,2006
185,Steelers,523,312,59.7,7.7,4026,23,23,80.2,201,38.4,49,10,87,49,293,469,1992,4.2,16,16,4,76,100,21.3,12,42,2006
