,Team,Att,Cmp,Cmp_%,Yds/Att,Pass_Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Att_Rush,Rush_Yds,YPC,TDC,20+C,40+C,LngC,Rush_1st,Rush_1st%,Rush_FUM,Tot_TD,Years
590,Panthers,563,378,67.1,7.2,4071,28,16,92.9,212,37.7,52,5,82,32,235,416,2136,5.1,17,15,3,59,117,28.1,7,46,2018
591,Bills,499,271,54.3,6.2,3082,13,23,62.6,137,27.5,43,8,75,41,288,468,1984,4.2,15,15,1,45,108,23.1,7,29,2018
592,Ravens,556,334,60.1,6.7,3708,18,9,84,184,33.1,43,6,74,32,150,547,2441,4.5,19,14,1,43,153,28,16,41,2018
593,Falcons,617,428,69.4,8,4949,36,7,108,238,38.6,56,9,75,42,296,351,1573,4.5,11,14,3,65,84,23.9,4,49,2018
594,Redskins,479,298,62.2,6.7,3205,18,13,83,154,32.2,38,6,75,50,393,356,1583,4.4,9,11,2,65,74,20.8,7,28,2019
595,Buccaneers,630,382,60.6,8.1,5127,33,30,84.1,244,38.7,75,13,71,47,282,409,1521,3.7,15,10,1,49,81,19.8,6,54,2019
596,Seahawks,517,341,66,7.9,4110,31,6,105.3,190,36.8,55,10,60,48,319,481,2200,4.6,15,14,2,59,121,25.2,11,49,2019
597,49ers,478,331,69.2,8.4,4029,28,13,103.1,195,40.8,62,8,75,36,237,498,2305,4.6,23,16,4,83,110,22.1,8,56,2019
598,Chargers,597,394,66,7.8,4648,24,20,89,220,36.9,57,12,84,34,222,366,1453,4,12,9,1,40,90,24.6,7,37,2019
599,Steelers,510,315,61.8,6.3,3214,18,19,76.1,147,28.8,37,8,79,32,233,395,1447,3.7,7,9,1,45,75,19,7,29,2019
600,Cardinals,554,355,64.1,6.9,3797,20,12,87,176,31.8,49,10,88,50,320,396,1990,5,18,16,1,80,109,27.5,3,38,2019
601,Eagles,613,391,63.8,6.6,4063,27,8,92.1,215,35.1,52,6,53,37,230,454,1939,4.3,16,7,2,65,104,22.9,9,46,2019
602,Jets,521,323,62,6.6,3443,19,16,80.6,162,31.1,44,6,92,52,332,383,1257,3.3,6,2,0,24,61,15.9,5,31,2019
603,Giants,607,376,61.9,6.7,4070,30,17,86.4,187,30.8,54,11,75,43,339,362,1685,4.7,11,13,3,68,89,24.6,9,44,2019
604,Saints,581,418,71.9,7.6,4431,36,6,110.2,230,39.6,54,9,61,25,187,405,1738,4.3,12,11,1,40,97,24,3,52,2019
605,Patriots,620,378,61,6.7,4153,25,9,88.2,197,31.8,62,6,59,28,192,447,1703,3.8,17,6,0,33,110,24.6,3,49,2019
606,Vikings,466,319,68.5,8,3729,26,8,103.9,171,36.7,53,11,66,28,206,476,2133,4.5,19,15,4,75,106,22.3,10,47,2019
607,Dolphins,615,371,60.3,6.7,4117,22,18,80,210,34.1,49,7,51,58,313,349,1156,3.3,10,3,0,28,64,18.3,7,34,2019
608,Raiders,523,367,70.2,7.9,4110,22,8,101,194,37.1,54,10,75,29,184,437,1893,4.3,13,11,3,60,104,23.8,9,37,2019
609,Rams,632,397,62.8,7.4,4669,22,17,85.6,222,35.1,73,6,66,22,170,401,1499,3.7,20,8,0,27,92,22.9,6,46,2019
610,Chiefs,576,378,65.6,8.1,4690,30,5,104.4,211,36.6,59,18,83,25,192,375,1569,4.2,16,10,3,91,93,24.8,5,50,2019
611,Jaguars,589,364,61.8,6.8,4023,24,8,90,183,31.1,53,6,70,42,263,389,1708,4.4,3,10,4,81,85,21.9,3,29,2019
612,Colts,513,307,59.8,6.5,3314,22,10,85,165,32.2,38,3,50,32,206,471,2130,4.5,17,14,3,63,131,27.8,3,42,2019
613,Texans,534,355,66.5,7.6,4083,27,14,95.3,203,38,51,10,54,49,300,434,2009,4.6,17,13,4,58,112,25.8,11,46,2019
614,Titans,448,297,66.3,8.8,3956,29,8,108.3,177,39.5,58,15,91,56,374,445,2223,5,21,14,5,74,104,23.4,8,54,2019
615,Packers,573,356,62.1,7,4017,26,4,95.3,190,33.2,52,12,74,36,284,411,1795,4.4,18,7,3,56,90,21.9,3,44,2019
616,Lions,571,344,60.2,7.3,4187,28,15,88.2,196,34.3,60,13,75,43,287,407,1649,4.1,7,7,2,44,82,20.1,5,38,2019
617,Broncos,504,312,61.9,6.7,3401,16,10,84.1,162,32.1,46,10,75,41,286,409,1662,4.1,11,8,1,40,77,18.8,2,28,2019
