,Team,INT,INT_TD,INT_Yds,Lng,Years
359,Packers,31,4,468,76,2011
360,Lions,21,5,458,100,2011
361,Broncos,9,3,152,55,2011
362,Cowboys,15,1,217,43,2011
363,Browns,9,0,93,29,2011
364,Bengals,10,1,137,75,2011
365,Bears,20,4,177,44,2011
366,Panthers,14,0,197,53,2011
367,Bills,20,4,341,43,2011
368,Ravens,15,1,175,73,2011
369,Falcons,19,2,301,50,2011
370,Redskins,21,3,257,49,2012
371,Buccaneers,18,3,419,83,2012
372,Seahawks,18,2,255,57,2012
373,49ers,14,2,216,63,2012
374,Chargers,14,5,336,80,2012
375,Steelers,10,1,127,53,2012
376,Cardinals,22,2,306,102,2012
377,Eagles,8,0,31,14,2012
378,Jets,11,2,117,40,2012
379,Giants,21,1,496,70,2012
380,Saints,15,4,369,99,2012
381,Patriots,20,2,371,87,2012
382,Vikings,10,3,224,56,2012
383,Dolphins,10,0,99,31,2012
384,Raiders,11,0,91,24,2012
385,Rams,17,4,382,42,2012
386,Chiefs,7,0,119,32,2012
387,Jaguars,12,0,122,23,2012
388,Colts,12,4,155,51,2012
389,Texans,15,3,333,86,2012
390,Titans,19,4,358,79,2012
391,Packers,18,1,246,72,2012
392,Lions,11,0,135,29,2012
393,Broncos,16,5,347,98,2012
394,Cowboys,7,1,147,47,2012
395,Browns,17,2,230,50,2012
396,Bengals,14,2,164,44,2012
397,Bears,24,8,488,74,2012
398,Panthers,11,3,181,74,2012
399,Bills,12,1,178,45,2012
400,Ravens,13,2,196,63,2012
401,Falcons,20,1,246,79,2012
402,Redskins,16,4,247,45,2013
403,Buccaneers,21,3,338,85,2013
404,Seahawks,28,3,385,58,2013
405,49ers,18,2,278,89,2013
406,Chargers,11,1,143,41,2013
407,Steelers,10,3,203,40,2013
408,Cardinals,20,4,251,43,2013
409,Eagles,19,1,294,76,2013
410,Jets,13,1,167,38,2013
411,Giants,17,2,270,91,2013
412,Saints,12,0,169,43,2013
413,Patriots,17,2,220,79,2013
414,Vikings,12,0,78,30,2013
415,Dolphins,18,2,204,94,2013
416,Raiders,9,1,83,43,2013
417,Rams,14,2,256,98,2013
418,Chiefs,21,5,488,100,2013
419,Jaguars,11,1,172,59,2013
420,Colts,15,1,186,46,2013
421,Texans,7,1,86,32,2013
422,Titans,13,1,113,34,2013
423,Packers,11,0,36,11,2013
424,Lions,15,1,211,66,2013
425,Broncos,17,1,141,75,2013
426,Cowboys,15,2,257,74,2013
427,Browns,14,3,274,44,2013
428,Bengals,20,4,200,60,2013
429,Bears,19,5,428,49,2013
430,Panthers,20,4,234,45,2013
431,Bills,23,2,289,57,2013
432,Ravens,16,1,160,37,2013
433,Falcons,10,2,176,71,2013
434,Redskins,7,0,38,14,2014
435,Buccaneers,14,3,155,33,2014
436,Seahawks,13,2,319,53,2014
437,49ers,23,2,315,73,2014
438,Chargers,7,0,65,27,2014
439,Steelers,11,4,242,52,2014
440,Cardinals,18,3,321,88,2014
441,Eagles,12,2,145,53,2014
442,Jets,6,0,36,25,2014
443,Giants,17,0,236,39,2014
444,Saints,12,0,120,45,2014
445,Patriots,16,0,184,60,2014
446,Vikings,13,2,201,81,2014
447,Dolphins,14,2,299,81,2014
448,Raiders,9,0,76,30,2014
449,Rams,13,3,276,99,2014
450,Chiefs,6,1,95,39,2014
451,Jaguars,6,1,80,55,2014
452,Colts,12,1,143,47,2014
453,Texans,20,4,483,80,2014
